maxVelocity:7,maxTurn:30
time (UNIX seconds),cumulative movement,cumulative rotation,lap number
1679574402,0,0,0
1679574405,0,0,0
1679574406,0,0,0
1679574407,0,0,0
1679574408,0,0,0
1679574409,0,0,0
1679574410,0,0,0
1679574411,0,0,0
1679574412,0,0,0
1679574413,0,0,0
1679574414,0,0,0
1679574415,0,0,0
1679574416,0,0,0
1679574417,0,0,0
1679574418,0,0,0
1679574419,0,0,0
1679574420,0,0,0
1679574421,0,0,0
1679574422,0,0,0
1679574423,0,0,0
1679574424,0,0,0
1679574425,0,0,0
1679574426,0,0,0
1679574427,0,0,0
1679574428,0,0,0
1679574429,0,0,0
1679574430,0,0,0
1679574431,0,0,0
1679574432,0,0,0
1679574433,0,0,0
1679574434,0,0,0
1679574435,0,0,0
1679574436,0,0,0
1679574437,0,0,0
1679574438,0,0,0
1679574439,0,0,0
1679574440,0,0,0
1679574441,0,0,0
1679574442,0,0,0
1679574443,0,0,0
1679574444,0,0,0
1679574445,0,0,0
1679574446,0,0,0
1679574447,0,0,0
1679574448,0,0,0
1679574449,0,0,0
1679574450,0,0,0
1679574451,0,0,0
1679574452,0,0,0
1679574453,0,0,0
1679574454,0,0,0
1679574455,0,0,0
1679574456,0,0,0
1679574457,0,0,0
1679574458,2,1,0
1679574459,5,9,0
1679574460,8,14,0
1679574461,13,16,0
1679574462,19,16,0
1679574463,24,16,0
1679574464,29,17,0
1679574465,34,17,0
1679574466,40,17,0
1679574467,46,17,0
1679574468,53,17,0
1679574469,59,17,0
1679574470,65,17,0
1679574471,69,42,0
1679574472,76,42,0
1679574473,80,56,0
1679574474,87,60,0
1679574475,91,78,0
1679574476,95,88,0
1679574477,99,106,0
1679574478,103,114,0
1679574479,107,119,0
1679574480,111,138,0
1679574481,116,159,0
1679574482,121,162,0
1679574483,127,173,0
1679574484,133,176,0
1679574485,137,206,0
1679574486,137,225,0
1679574487,140,235,0
1679574488,146,235,0
1679574489,152,235,0
1679574490,158,235,0
1679574491,163,235,0
1679574492,167,249,0
1679574493,173,255,0
1679574494,180,255,0
1679574495,184,280,0
1679574496,189,298,0
1679574497,192,317,0
1679574498,192,347,0
1679574499,194,373,0
1679574500,194,398,0
1679574501,197,402,0
1679574502,200,421,0
1679574503,205,435,0
1679574504,209,455,0
1679574505,215,467,0
1679574506,220,490,0
1679574507,224,519,0
1679574508,228,530,0
1679574509,235,530,0
1679574510,240,544,0
1679574511,243,570,0
1679574512,250,570,0
1679574513,257,571,0
1679574514,261,597,0
1679574515,267,597,0
1679574516,271,609,0
1679574517,274,616,0
1679574518,279,618,0
1679574519,285,618,0
1679574520,290,618,0
1679574521,295,624,0
1679574522,300,638,0
1679574523,306,639,0
1679574524,311,643,0
1679574525,318,643,0
1679574526,322,653,0
1679574527,326,672,0
1679574528,330,683,0
1679574529,333,691,0
1679574530,337,697,0
1679574531,342,699,0
1679574532,346,724,0
1679574533,350,745,0
1679574534,357,745,0
1679574535,363,747,0
1679574536,365,775,0
1679574537,370,789,0
1679574538,376,789,0
1679574539,383,789,0
1679574540,387,808,0
1679574541,393,819,0
1679574542,399,830,0
1679574543,403,856,0
1679574544,407,868,0
1679574545,412,873,0
1679574546,416,899,0
1679574547,421,911,0
1679574548,427,918,0
1679574549,433,921,0
1679574550,439,926,0
1679574551,442,952,0
1679574552,448,953,0
1679574553,450,973,0
1679574554,452,1003,0
1679574555,458,1006,0
1679574556,464,1012,0
1679574557,469,1030,0
1679574558,474,1033,0
1679574559,478,1052,0
1679574560,482,1062,0
1679574561,487,1062,0
1679574562,488,1081,0
1679574563,493,1088,0
1679574564,499,1089,0
1679574565,505,1089,0
1679574566,511,1089,0
1679574567,517,1089,0
1679574568,522,1090,0
1679574569,527,1091,0
1679574570,530,1108,0
1679574571,533,1126,0
1679574572,539,1129,0
1679574573,542,1149,0
1679574574,545,1171,0
1679574575,548,1190,0
1679574576,549,1212,0
1679574577,550,1237,0
1679574578,554,1249,0
1679574579,558,1254,0
1679574580,558,1260,0
1679574581,560,1265,0
1679574582,564,1267,0
1679574583,568,1268,0
1679574584,573,1271,0
1679574585,576,1292,0
1679574586,583,1292,0
1679574587,590,1292,0
1679574588,594,1307,0
1679574589,600,1308,0
1679574590,605,1308,0
1679574591,611,1308,0
1679574592,616,1310,0
1679574593,620,1312,0
1679574594,625,1315,0
1679574595,629,1317,1
1679574596,631,1341,1
1679574597,633,1369,1
1679574598,637,1381,1
1679574599,640,1390,1
1679574600,646,1391,1
1679574601,653,1391,1
1679574602,658,1391,1
1679574603,664,1391,1
1679574604,669,1391,1
1679574605,674,1393,1
1679574606,680,1393,1
1679574607,685,1394,1
1679574608,690,1407,1
1679574609,695,1416,1
1679574610,700,1431,1
1679574611,705,1448,1
1679574612,709,1469,1
1679574613,714,1480,1
1679574614,718,1489,1
1679574615,723,1500,1
1679574616,729,1515,1
1679574617,731,1535,1
1679574618,737,1537,1
1679574619,742,1551,1
1679574620,743,1577,1
1679574621,743,1599,1
1679574622,744,1607,1
1679574623,750,1607,1
1679574624,755,1609,1
1679574625,760,1613,1
1679574626,764,1619,1
1679574627,768,1623,1
1679574628,769,1634,1
1679574629,773,1643,1
1679574630,776,1669,1
1679574631,780,1677,1
1679574632,783,1688,1
1679574633,787,1706,1
1679574634,791,1710,1
1679574635,793,1734,1
1679574636,797,1743,1
1679574637,804,1743,1
1679574638,811,1743,1
1679574639,818,1743,1
1679574640,824,1750,1
1679574641,827,1779,1
1679574642,833,1782,1
1679574643,838,1798,1
1679574644,842,1823,1
1679574645,847,1830,1
1679574646,852,1853,1
1679574647,856,1864,1
1679574648,862,1871,1
1679574649,866,1887,1
1679574650,872,1888,1
1679574651,878,1888,1
1679574652,882,1906,1
1679574653,887,1911,1
1679574654,890,1929,1
1679574655,895,1950,1
1679574656,899,1957,1
1679574657,900,1975,1
1679574658,905,1983,1
1679574659,910,1983,1
1679574660,915,1983,1
1679574661,920,1985,1
1679574662,925,1988,1
1679574663,928,2006,1
1679574664,933,2011,1
1679574665,938,2019,1
1679574666,942,2023,1
1679574667,945,2032,1
1679574668,948,2054,1
1679574669,955,2055,1
1679574670,958,2072,1
1679574671,965,2082,1
1679574672,969,2095,1
1679574673,972,2120,1
1679574674,976,2130,1
1679574675,981,2139,1
1679574676,987,2147,1
1679574677,993,2160,1
1679574678,1000,2167,1
1679574679,1006,2174,1
1679574680,1010,2197,1
1679574681,1011,2226,1
1679574682,1012,2245,1
1679574683,1019,2246,1
1679574684,1024,2250,1
1679574685,1027,2275,1
1679574686,1031,2281,1
1679574687,1036,2297,1
1679574688,1038,2318,1
1679574689,1043,2325,1
1679574690,1046,2349,1
1679574691,1049,2356,1
1679574692,1054,2371,1
1679574693,1058,2387,1
1679574694,1062,2406,1
1679574695,1064,2433,1
1679574696,1069,2437,1
1679574697,1074,2445,1
1679574698,1076,2466,1
1679574699,1081,2474,1
1679574700,1086,2474,1
1679574701,1091,2474,1
1679574702,1097,2479,1
1679574703,1101,2494,1
1679574704,1105,2503,1
1679574705,1111,2503,1
1679574706,1117,2503,1
1679574707,1122,2503,1
1679574708,1127,2508,1
1679574709,1131,2529,1
1679574710,1137,2529,1
1679574711,1140,2551,1
1679574712,1146,2558,1
1679574713,1148,2581,1
1679574714,1153,2583,1
1679574715,1159,2583,1
1679574716,1164,2585,1
1679574717,1169,2585,1
1679574718,1174,2587,1
1679574719,1179,2588,1
1679574720,1183,2600,1
1679574721,1189,2601,1
1679574722,1196,2601,1
1679574723,1202,2601,1
1679574724,1207,2601,1
1679574725,1213,2603,1
1679574726,1219,2603,1
1679574727,1225,2603,1
1679574728,1229,2604,2
1679574729,1234,2610,2
1679574730,1239,2616,2
1679574731,1243,2619,2
1679574732,1247,2637,2
1679574733,1251,2648,2
1679574734,1255,2658,2
1679574735,1260,2661,2
1679574736,1264,2674,2
1679574737,1267,2684,2
1679574738,1272,2688,2
1679574739,1277,2699,2
1679574740,1281,2701,2
1679574741,1286,2709,2
1679574742,1291,2719,2
1679574743,1297,2728,2
1679574744,1303,2733,2
1679574745,1309,2740,2
1679574746,1314,2762,2
1679574747,1319,2773,2
1679574748,1323,2801,2
1679574749,1328,2805,2
1679574750,1333,2822,2
1679574751,1338,2849,2
1679574752,1343,2857,2
1679574753,1348,2859,2
1679574754,1353,2861,2
1679574755,1357,2869,2
1679574756,1362,2872,2
1679574757,1366,2873,2
1679574758,1370,2875,2
1679574759,1374,2878,2
1679574760,1378,2886,2
1679574761,1382,2907,2
1679574762,1387,2912,2
1679574763,1391,2933,2
1679574764,1396,2941,2
1679574765,1401,2957,2
1679574766,1407,2961,2
1679574767,1413,2965,2
1679574768,1419,2975,2
1679574769,1425,2984,2
1679574770,1431,3005,2
1679574771,1435,3032,2
1679574772,1440,3045,2
1679574773,1445,3050,2
1679574774,1451,3057,2
1679574775,1457,3069,2
1679574776,1461,3097,2
1679574777,1466,3100,2
1679574778,1470,3117,2
1679574779,1471,3141,2
1679574780,1476,3143,2
1679574781,1481,3145,2
1679574782,1487,3148,2
1679574783,1492,3149,2
1679574784,1496,3154,2
1679574785,1501,3155,2
1679574786,1503,3162,2
1679574787,1505,3166,2
1679574788,1510,3166,2
1679574789,1515,3166,2
1679574790,1519,3170,2
1679574791,1524,3171,2
1679574792,1528,3172,2
1679574793,1532,3175,2
1679574794,1535,3199,2
1679574795,1542,3199,2
1679574796,1548,3199,2
1679574797,1553,3203,2
1679574798,1556,3230,2
1679574799,1562,3239,2
1679574800,1565,3262,2
1679574801,1570,3276,2
1679574802,1574,3290,2
1679574803,1576,3307,2
1679574804,1582,3307,2
1679574805,1588,3311,2
1679574806,1593,3323,2
1679574807,1599,3343,2
1679574808,1604,3356,2
1679574809,1610,3364,2
1679574810,1615,3365,2
1679574811,1620,3368,2
1679574812,1623,3378,2
1679574813,1627,3408,2
1679574814,1632,3423,2
1679574815,1638,3426,2
1679574816,1639,3449,2
1679574817,1644,3452,2
1679574818,1645,3478,2
1679574819,1650,3481,2
1679574820,1653,3503,2
1679574821,1658,3511,2
1679574822,1659,3539,2
1679574823,1663,3558,2
1679574824,1667,3573,2
1679574825,1670,3597,2
1679574826,1673,3615,2
1679574827,1677,3629,2
1679574828,1682,3631,2
1679574829,1687,3634,2
1679574830,1691,3644,2
1679574831,1695,3650,2
1679574832,1698,3668,2
1679574833,1701,3679,2
1679574834,1706,3681,2
1679574835,1710,3684,2
1679574836,1715,3689,2
1679574837,1716,3712,2
1679574838,1721,3721,2
1679574839,1725,3728,2
1679574840,1725,3755,2
1679574841,1730,3772,2
1679574842,1734,3779,2
1679574843,1739,3784,2
1679574844,1741,3803,2
1679574845,1745,3811,2
1679574846,1751,3811,2
1679574847,1756,3812,2
1679574848,1762,3813,2
1679574849,1767,3813,2
1679574850,1772,3815,2
1679574851,1776,3816,2
1679574852,1780,3836,2
1679574853,1785,3842,2
1679574854,1790,3855,2
1679574855,1795,3856,2
1679574856,1800,3856,2
1679574857,1806,3856,2
1679574858,1811,3856,2
1679574859,1816,3856,2
1679574860,1821,3857,3
1679574861,1824,3864,3
1679574862,1829,3864,3
1679574863,1834,3866,3
1679574864,1838,3870,3
1679574865,1843,3873,3
1679574866,1847,3877,3
1679574867,1850,3888,3
1679574868,1854,3894,3
1679574869,1858,3912,3
1679574870,1859,3931,3
1679574871,1864,3934,3
1679574872,1868,3938,3
1679574873,1872,3954,3
1679574874,1872,3977,3
1679574875,1875,3978,3
1679574876,1879,3992,3
1679574877,1885,4003,3
1679574878,1888,4032,3
1679574879,1892,4051,3
1679574880,1895,4070,3
1679574881,1897,4089,3
1679574882,1900,4097,3
1679574883,1903,4107,3
1679574884,1907,4122,3
1679574885,1909,4141,3
1679574886,1911,4162,3
1679574887,1914,4187,3
1679574888,1919,4210,3
1679574889,1923,4227,3
1679574890,1927,4241,3
1679574891,1930,4248,3
1679574892,1932,4266,3
1679574893,1935,4276,3
1679574894,1940,4278,3
1679574895,1945,4280,3
1679574896,1950,4281,3
1679574897,1954,4283,3
1679574898,1957,4302,3
1679574899,1961,4312,3
1679574900,1967,4314,3
1679574901,1968,4328,3
1679574902,1968,4328,3
1679574903,1968,4332,3
1679574904,1968,4332,3
1679574905,1968,4336,3
1679574906,1968,4340,3
1679574907,1968,4340,3
1679574908,1968,4341,3
1679574909,1968,4341,3
1679574909,1968,4341,3
Trial ended. Best lap time:131.928,total elapsed time:507
