maxVelocity:7,maxTurn:30
time (UNIX seconds),cumulative movement,cumulative rotation,lap number
1679403170,0,0,0
1679403173,0,0,0
1679403174,0,0,0
1679403175,0,0,0
1679403176,0,0,0
1679403177,0,0,0
1679403178,0,0,0
1679403179,0,0,0
1679403180,0,0,0
1679403181,0,2,0
1679403182,0,2,0
1679403183,0,2,0
1679403184,0,2,0
1679403185,0,2,0
1679403186,0,2,0
1679403187,0,2,0
1679403188,0,2,0
1679403189,0,2,0
1679403190,0,2,0
1679403191,0,2,0
1679403192,0,2,0
1679403193,0,2,0
1679403194,0,2,0
1679403195,0,3,0
1679403196,0,3,0
1679403197,0,3,0
1679403198,0,3,0
1679403199,0,3,0
1679403200,0,3,0
1679403201,0,3,0
1679403202,0,4,0
1679403203,0,5,0
1679403204,0,5,0
1679403205,0,5,0
1679403206,0,5,0
1679403207,3,9,0
1679403208,5,24,0
1679403209,5,40,0
1679403210,9,48,0
1679403211,16,48,0
1679403212,17,50,0
1679403213,22,51,0
1679403214,27,61,0
1679403215,33,61,0
1679403216,41,61,0
1679403217,47,61,0
1679403218,52,63,0
1679403219,57,78,0
1679403220,65,78,0
1679403221,70,91,0
1679403222,74,121,0
1679403223,84,122,0
1679403224,92,122,0
1679403225,94,150,0
1679403226,95,179,0
1679403227,98,198,0
1679403228,98,218,0
1679403229,103,225,0
1679403230,106,245,0
1679403231,110,260,0
1679403232,117,268,0
1679403233,121,298,0
1679403234,126,316,0
1679403235,134,316,0
1679403236,142,316,0
1679403237,150,316,0
1679403238,158,316,0
1679403239,165,321,0
1679403240,167,351,0
1679403241,173,363,0
1679403242,183,363,0
1679403243,192,363,0
1679403244,200,371,0
1679403245,204,399,0
1679403246,212,404,0
1679403247,217,423,0
1679403248,222,439,0
1679403249,229,449,0
1679403250,233,477,0
1679403251,240,485,0
1679403252,244,503,0
1679403253,248,514,0
1679403254,253,520,0
1679403255,259,524,0
1679403256,266,524,0
1679403257,274,524,0
1679403258,281,524,0
1679403259,287,524,0
1679403260,292,543,0
1679403261,292,567,0
1679403262,297,570,0
1679403263,303,570,0
1679403264,311,570,0
1679403265,318,570,0
1679403266,321,592,0
1679403267,327,600,0
1679403268,333,613,0
1679403269,338,638,0
1679403270,347,638,0
1679403271,356,638,0
1679403272,362,650,0
1679403273,368,672,0
1679403274,377,672,0
1679403275,383,689,0
1679403276,390,691,0
1679403277,394,721,0
1679403278,403,721,0
1679403279,408,747,0
1679403280,415,750,0
1679403281,419,772,0
1679403282,424,794,0
1679403283,429,812,0
1679403284,435,826,0
1679403285,440,844,0
1679403286,448,844,0
1679403287,455,844,0
1679403288,459,862,0
1679403289,467,862,0
1679403290,469,877,0
1679403291,473,888,0
1679403292,480,888,0
1679403293,486,888,0
1679403294,491,913,0
1679403295,498,916,0
1679403296,503,946,0
1679403297,509,962,0
1679403298,515,972,0
1679403299,521,984,0
1679403300,528,984,0
1679403301,535,984,0
1679403302,543,984,0
1679403303,549,984,0
1679403304,553,1001,0
1679403305,554,1006,0
1679403306,560,1006,0
1679403307,568,1006,0
1679403308,575,1006,0
1679403309,583,1006,0
1679403310,590,1006,1
1679403311,597,1006,1
1679403312,604,1006,1
1679403313,611,1006,1
1679403314,614,1030,1
1679403315,614,1044,1
1679403316,617,1048,1
1679403317,624,1048,1
1679403318,631,1048,1
1679403319,638,1050,1
1679403320,643,1068,1
1679403321,649,1081,1
1679403322,658,1081,1
1679403323,663,1103,1
1679403324,668,1119,1
1679403325,674,1132,1
1679403326,676,1160,1
1679403327,682,1168,1
1679403328,689,1177,1
1679403329,695,1193,1
1679403330,699,1211,1
1679403331,704,1227,1
1679403332,711,1227,1
1679403333,719,1227,1
1679403334,726,1227,1
1679403335,731,1243,1
1679403336,736,1262,1
1679403337,742,1276,1
1679403338,752,1276,1
1679403339,761,1276,1
1679403340,770,1277,1
1679403341,775,1304,1
1679403342,782,1309,1
1679403343,786,1335,1
1679403344,793,1337,1
