maxVelocity:7,maxTurn:30
time (UNIX seconds),cumulative movement,cumulative rotation,lap number
1679407266,0,0,0
1679407268,0,0,0
1679407269,0,0,0
1679407270,0,0,0
1679407271,0,0,0
1679407272,0,0,0
1679407273,0,0,0
1679407274,0,0,0
1679407275,0,0,0
1679407276,0,0,0
1679407277,0,0,0
1679407278,0,0,0
1679407279,0,0,0
1679407280,0,0,0
1679407281,0,0,0
1679407282,0,3,0
1679407283,0,24,0
1679407284,0,45,0
1679407285,0,54,0
1679407286,0,55,0
1679407287,0,57,0
1679407288,0,57,0
1679407289,0,57,0
1679407290,0,57,0
1679407291,0,74,0
1679407292,0,81,0
1679407293,0,99,0
1679407294,0,101,0
1679407295,0,109,0
1679407296,0,124,0
1679407297,0,131,0
1679407298,0,138,0
1679407299,0,153,0
1679407300,0,167,0
1679407301,0,184,0
1679407302,0,189,0
1679407303,0,192,0
1679407304,0,193,0
1679407305,0,193,0
1679407306,0,193,0
1679407307,0,193,0
1679407308,0,193,0
1679407309,0,193,0
1679407310,0,193,0
1679407311,0,193,0
1679407312,0,193,0
1679407313,0,193,0
1679407314,0,193,0
1679407315,0,193,0
1679407316,0,193,0
1679407317,0,200,0
1679407318,2,204,0
1679407319,7,204,0
1679407320,12,208,0
1679407321,16,211,0
1679407322,22,211,0
1679407323,27,212,0
1679407324,33,212,0
1679407325,38,214,0
1679407326,40,223,0
1679407327,44,231,0
1679407328,49,232,0
1679407329,53,233,0
1679407330,59,233,0
1679407331,64,234,0
1679407332,67,242,0
1679407333,69,271,0
1679407334,73,277,0
1679407335,80,277,0
1679407336,87,278,0
1679407337,89,307,0
1679407338,95,311,0
1679407339,99,326,0
1679407340,102,346,0
1679407341,107,349,0
1679407342,111,368,0
1679407343,116,375,0
1679407344,118,405,0
1679407345,125,408,0
1679407346,131,409,0
1679407347,135,426,0
1679407348,140,428,0
1679407349,145,441,0
1679407350,149,442,0
1679407351,154,443,0
1679407352,159,447,0
1679407353,164,459,0
1679407354,165,486,0
1679407355,165,516,0
1679407356,166,546,0
1679407357,167,574,0
1679407358,169,599,0
1679407359,173,624,0
1679407360,177,650,0
1679407361,178,680,0
1679407362,181,708,0
1679407363,185,729,0
1679407364,191,734,0
1679407365,198,741,0
1679407366,203,752,0
1679407367,208,753,0
1679407368,214,753,0
1679407369,218,769,0
1679407370,223,782,0
1679407371,229,793,0
1679407372,233,818,0
1679407373,239,825,0
1679407374,242,855,0
1679407375,247,865,0
1679407376,253,876,0
1679407377,260,876,0
1679407378,267,876,0
1679407379,271,897,0
1679407380,276,908,0
1679407381,279,932,0
1679407382,281,955,0
1679407383,286,955,0
1679407384,292,955,0
1679407385,297,956,0
1679407386,302,962,0
1679407387,306,963,0
1679407388,311,965,0
1679407389,314,974,0
1679407390,319,976,0
1679407391,324,976,0
1679407392,329,977,0
1679407393,334,985,0
1679407394,338,1001,0
1679407395,343,1002,0
1679407396,349,1002,0
1679407397,354,1005,0
1679407398,358,1016,0
1679407399,360,1046,0
1679407400,366,1061,0
1679407401,370,1079,0
1679407402,376,1087,0
1679407403,380,1107,0
1679407404,384,1121,0
1679407405,387,1132,0
1679407406,392,1138,0
1679407407,396,1151,0
1679407408,400,1180,0
1679407409,406,1190,0
1679407410,412,1198,0
1679407411,416,1221,0
1679407412,421,1226,0
1679407413,425,1242,0
1679407414,432,1242,0
1679407415,435,1269,0
1679407416,439,1299,0
1679407417,441,1329,0
1679407418,447,1331,0
1679407419,453,1332,0
1679407420,458,1337,0
1679407421,462,1354,0
1679407422,467,1371,0
1679407423,473,1377,0
1679407424,478,1398,0
1679407425,483,1415,0
1679407426,490,1415,0
1679407427,495,1437,0
1679407428,500,1441,0
1679407429,507,1441,0
1679407430,514,1441,0
1679407431,520,1441,0
1679407432,527,1441,0
1679407433,534,1441,0
1679407434,540,1442,0
1679407435,544,1472,0
1679407436,552,1475,0
1679407437,557,1497,0
1679407438,562,1509,0
1679407439,568,1521,0
1679407440,573,1536,0
1679407441,580,1536,0
1679407442,588,1536,0
1679407443,593,1543,0
1679407444,597,1549,0
1679407445,604,1549,0
1679407446,610,1549,0
1679407447,616,1549,0
1679407448,622,1549,0
1679407449,629,1549,0
1679407450,635,1549,0
1679407451,642,1549,1
1679407452,649,1549,1
1679407453,655,1549,1
1679407454,661,1549,1
1679407455,668,1549,1
1679407456,674,1549,1
1679407457,681,1549,1
1679407458,688,1549,1
1679407459,694,1549,1
1679407460,700,1549,1
1679407461,703,1576,1
1679407462,710,1579,1
1679407463,714,1607,1
1679407464,719,1612,1
1679407465,723,1638,1
1679407466,729,1638,1
1679407467,733,1651,1
1679407468,736,1681,1
1679407469,743,1683,1
1679407470,749,1692,1
1679407471,753,1713,1
1679407472,760,1713,1
1679407473,764,1723,1
1679407474,770,1723,1
1679407475,775,1731,1
1679407476,780,1731,1
1679407477,786,1731,1
1679407478,791,1738,1
1679407479,796,1754,1
1679407480,801,1776,1
1679407481,808,1782,1
1679407482,813,1797,1
1679407483,818,1818,1
1679407484,821,1828,1
1679407485,825,1841,1
1679407486,829,1861,1
1679407487,834,1878,1
1679407488,840,1889,1
1679407489,843,1918,1
1679407490,848,1922,1
1679407491,852,1933,1
1679407492,856,1956,1
1679407493,863,1957,1
1679407494,867,1979,1
1679407495,874,1987,1
1679407496,878,2010,1
1679407497,883,2012,1
1679407498,889,2014,1
1679407499,893,2035,1
1679407500,898,2042,1
1679407501,904,2042,1
1679407502,912,2042,1
1679407503,918,2042,1
1679407504,923,2063,1
1679407505,927,2064,1
1679407506,932,2083,1
1679407507,937,2085,1
1679407508,944,2085,1
1679407509,950,2085,1
1679407510,956,2085,1
1679407511,962,2086,1
1679407512,965,2115,1
1679407513,971,2126,1
1679407514,977,2141,1
1679407515,982,2157,1
1679407516,989,2157,1
1679407517,997,2157,1
1679407518,1005,2157,1
1679407519,1010,2161,1
1679407520,1014,2184,1
1679407521,1018,2202,1
1679407522,1023,2219,1
1679407523,1027,2238,1
1679407524,1033,2240,1
1679407525,1038,2257,1
1679407526,1043,2272,1
1679407527,1048,2288,1
1679407528,1054,2303,1
1679407529,1061,2313,1
1679407530,1064,2343,1
1679407531,1069,2361,1
1679407532,1073,2384,1
1679407533,1077,2412,1
1679407534,1082,2423,1
1679407535,1088,2433,1
1679407536,1092,2454,1
1679407537,1097,2455,1
1679407538,1102,2478,1
1679407539,1107,2487,1
1679407540,1111,2498,1
1679407541,1117,2498,1
1679407542,1123,2498,1
1679407543,1129,2498,1
1679407544,1134,2498,1
1679407545,1139,2499,1
1679407546,1143,2519,1
1679407547,1149,2520,1
1679407548,1153,2548,1
1679407549,1160,2554,1
1679407550,1163,2579,1
1679407551,1167,2600,1
1679407552,1172,2614,1
1679407553,1177,2614,1
1679407554,1183,2614,1
1679407555,1189,2614,1
1679407556,1195,2614,1
1679407557,1201,2614,1
1679407558,1207,2614,1
1679407559,1212,2614,1
1679407560,1218,2614,1
1679407561,1224,2614,1
1679407562,1229,2614,1
1679407563,1235,2614,1
1679407564,1242,2614,2
1679407565,1248,2614,2
1679407566,1255,2614,2
1679407567,1262,2614,2
1679407568,1269,2614,2
1679407569,1276,2614,2
1679407570,1283,2614,2
1679407571,1289,2615,2
1679407572,1294,2620,2
1679407573,1299,2631,2
1679407574,1304,2645,2
1679407575,1309,2667,2
1679407576,1315,2681,2
1679407577,1320,2689,2
1679407578,1323,2719,2
1679407579,1328,2724,2
1679407580,1334,2724,2
1679407581,1341,2724,2
1679407582,1346,2734,2
1679407583,1348,2764,2
1679407584,1354,2771,2
1679407585,1358,2796,2
1679407586,1363,2798,2
1679407587,1368,2806,2
