maxVelocity:7,maxTurn:150
time (UNIX seconds),cumulative movement,cumulative rotation,lap number
1678367580,0,0,0
1678367582,0,0,0
1678367583,0,0,0
1678367584,0,0,0
1678367585,0,0,0
1678367586,0,0,0
1678367587,0,0,0
1678367588,0,0,0
1678367589,0,0,0
1678367590,0,0,0
1678367591,0,0,0
1678367592,0,0,0
1678367593,0,0,0
1678367594,0,0,0
1678367595,0,0,0
1678367596,0,0,0
1678367597,0,0,0
1678367598,0,0,0
1678367599,0,0,0
1678367600,0,0,0
1678367601,0,0,0
1678367602,0,0,0
1678367603,0,0,0
1678367604,0,0,0
1678367605,0,0,0
1678367606,0,0,0
1678367607,0,0,0
1678367608,0,0,0
1678367609,0,0,0
1678367610,0,0,0
1678367611,0,0,0
1678367612,0,0,0
1678367613,0,0,0
1678367614,0,0,0
1678367615,0,0,0
1678367616,0,0,0
1678367617,0,0,0
1678367618,0,0,0
1678367619,0,0,0
1678367620,0,0,0
1678367621,0,0,0
1678367622,0,0,0
1678367623,0,0,0
1678367624,0,0,0
1678367625,0,0,0
1678367626,0,0,0
1678367627,0,0,0
1678367628,0,0,0
1678367629,1,0,0
1678367630,4,0,0
1678367631,7,2,0
1678367632,10,8,0
1678367633,13,88,0
1678367634,13,197,0
1678367635,13,285,0
1678367636,14,294,0
1678367637,18,294,0
1678367638,22,294,0
1678367639,25,294,0
1678367640,27,334,0
1678367641,27,357,0
1678367642,28,424,0
1678367643,29,427,0
1678367644,30,438,0
1678367645,32,440,0
1678367646,34,449,0
1678367647,37,449,0
1678367648,39,452,0
1678367649,41,453,0
1678367650,43,453,0
1678367651,45,453,0
1678367652,48,453,0
1678367653,50,453,0
1678367654,53,459,0
1678367655,57,460,0
1678367656,61,460,0
1678367657,66,460,0
1678367658,69,465,0
1678367659,71,492,0
1678367660,73,503,0
1678367661,76,504,0
1678367662,79,535,0
1678367663,79,613,0
1678367664,79,624,0
1678367665,79,624,0
1678367666,79,653,0
1678367667,80,710,0
1678367668,81,710,0
1678367669,85,710,0
1678367670,88,743,0
1678367671,89,810,0
1678367672,91,861,0
1678367673,94,867,0
1678367674,97,894,0
1678367675,99,907,0
1678367676,102,907,0
1678367677,104,909,0
1678367678,107,931,0
1678367679,110,931,0
1678367680,114,934,0
1678367681,116,948,0
1678367682,120,948,0
1678367683,123,974,0
1678367684,125,988,0
1678367685,128,988,0
1678367686,131,988,0
1678367687,135,988,0
1678367688,138,988,0
1678367689,141,989,0
1678367690,144,992,0
1678367691,147,992,0
1678367692,150,993,0
1678367693,152,993,0
1678367694,155,993,0
1678367695,158,993,0
1678367696,161,1040,0
1678367697,163,1080,0
1678367698,165,1091,0
1678367699,167,1109,0
1678367700,170,1120,0
1678367701,172,1162,0
1678367702,174,1162,0
1678367703,177,1162,0
1678367704,180,1162,0
1678367705,185,1162,0
1678367706,190,1162,0
1678367707,193,1166,0
1678367708,198,1166,0
1678367709,199,1187,0
1678367710,202,1188,0
1678367711,205,1226,0
1678367712,208,1228,0
1678367713,211,1228,0
1678367714,214,1228,0
1678367715,217,1228,0
1678367716,219,1241,0
1678367717,221,1251,0
1678367718,221,1252,0
1678367719,222,1356,0
1678367720,222,1358,0
1678367721,223,1431,0
