maxVelocity:7,maxTurn:150
time (UNIX seconds),cumulative movement,cumulative rotation,lap number
1678360954,0,0,0
1678360956,0,0,0
1678360957,0,0,0
1678360958,0,0,0
1678360959,0,0,0
1678360960,0,0,0
1678360961,0,0,0
1678360963,0,0,0
1678360963,0,0,0
1678360964,0,0,0
1678360965,0,0,0
1678360966,0,0,0
1678360967,0,0,0
1678360969,0,0,0
1678360970,0,0,0
1678360971,0,0,0
1678360972,0,0,0
1678360973,0,0,0
1678360974,0,0,0
1678360975,0,0,0
1678360976,0,0,0
1678360977,0,0,0
1678360978,0,0,0
1678360979,0,0,0
1678360980,0,0,0
1678360981,0,0,0
1678360982,0,0,0
1678360983,0,0,0
1678360984,0,0,0
1678360985,0,0,0
1678360986,0,0,0
1678360987,0,0,0
1678360988,0,0,0
1678360989,3,4,0
1678360990,9,4,0
1678360991,14,5,0
1678360992,20,6,0
1678360993,20,22,0
1678360994,20,32,0
1678360995,26,32,0
1678360996,30,60,0
1678360997,32,82,0
1678360998,35,83,0
1678360999,40,83,0
1678361000,44,83,0
1678361001,48,83,0
1678361002,53,83,0
1678361002,59,83,0
1678361004,64,83,0
1678361005,68,83,0
1678361006,72,111,0
1678361007,79,111,0
1678361008,85,119,0
1678361009,88,157,0
1678361010,95,157,0
1678361011,101,166,0
1678361012,104,186,0
1678361013,110,186,0
1678361014,112,235,0
1678361015,120,235,0
1678361016,127,235,0
1678361017,131,269,0
1678361018,134,278,0
1678361019,137,279,0
1678361020,142,279,0
1678361021,147,279,0
1678361022,151,279,0
1678361023,155,279,0
1678361024,157,332,0
1678361025,163,332,0
1678361026,169,332,0
1678361027,176,336,0
1678361028,182,336,0
1678361029,187,345,0
1678361029,190,353,0
1678361031,196,354,0
1678361032,203,354,0
1678361033,207,391,0
1678361034,208,421,0
1678361035,212,421,0
1678361036,217,428,0
1678361037,217,429,0
1678361038,217,444,0
1678361039,218,449,0
1678361040,222,449,0
1678361041,225,491,0
1678361042,230,496,0
1678361043,234,522,0
1678361044,238,528,0
1678361045,243,528,0
1678361046,248,529,0
1678361047,253,529,0
1678361048,258,530,0
1678361049,263,536,0
1678361050,264,537,0
1678361051,267,541,0
1678361052,271,541,0
1678361053,273,565,0
1678361054,273,576,0
1678361055,276,576,0
1678361056,281,576,0
1678361057,285,576,0
1678361058,289,576,0
1678361059,293,576,0
1678361060,298,576,0
1678361061,302,576,0
1678361062,307,576,0
1678361063,311,577,0
1678361064,316,577,0
1678361065,320,578,0
1678361066,323,617,0
1678361067,329,617,0
1678361068,334,642,0
1678361069,337,660,0
1678361070,341,680,0
1678361071,341,693,0
1678361072,345,696,0
1678361073,350,697,0
1678361074,356,697,0
1678361075,361,737,0
1678361076,366,740,0
1678361077,372,740,0
1678361078,377,743,0
1678361078,383,744,0
1678361080,388,744,0
1678361081,393,751,0
1678361082,396,765,0
1678361083,400,765,0
1678361084,406,766,0
1678361085,408,800,0
1678361086,412,804,0
1678361087,413,834,0
1678361088,415,839,0
1678361089,420,839,0
1678361090,424,842,0
1678361091,426,877,0
1678361092,430,881,0
1678361093,437,881,0
1678361094,441,904,0
1678361095,442,912,0
1678361095,447,912,0
1678361097,451,912,0
1678361098,453,923,0
1678361099,456,924,0
1678361100,461,924,0
1678361101,466,924,0
1678361102,471,924,0
1678361103,476,924,0
1678361104,480,924,0
1678361105,481,940,0
1678361106,484,941,0
1678361107,488,942,0
1678361108,492,956,0
1678361108,494,991,0
1678361110,499,991,0
1678361111,505,992,0
1678361112,508,1027,0
1678361112,512,1030,0
1678361114,516,1031,0
1678361114,517,1049,0
1678361116,517,1065,0
1678361117,521,1065,0
1678361118,526,1066,0
1678361119,531,1071,0
1678361120,535,1071,0
1678361120,539,1072,0
1678361122,543,1074,0
1678361123,544,1079,0
1678361124,547,1079,0
1678361125,550,1080,0
1678361125,554,1082,0
1678361126,557,1086,0
1678361128,560,1089,0
1678361129,562,1091,0
1678361129,566,1092,0
1678361131,569,1094,0
1678361131,572,1101,0
1678361133,573,1101,0
1678361134,575,1101,0
1678361135,578,1105,0
1678361136,580,1105,0
1678361137,583,1129,0
1678361138,583,1196,0
1678361138,586,1209,0
1678361140,586,1263,0
1678361141,586,1278,0
1678361142,588,1299,0
1678361143,591,1308,0
1678361143,596,1308,1
1678361145,598,1337,1
1678361146,598,1341,1
1678361146,602,1341,1
1678361148,607,1343,1
1678361149,612,1343,1
1678361149,617,1344,1
1678361150,621,1345,1
1678361152,625,1351,1
1678361153,630,1355,1
1678361154,634,1356,1
1678361155,638,1357,1
1678361155,638,1360,1
1678361156,641,1360,1
1678361158,644,1360,1
1678361159,648,1364,1
1678361160,652,1364,1
1678361161,656,1387,1
1678361161,660,1394,1
1678361163,665,1394,1
1678361164,669,1396,1
1678361165,671,1425,1
1678361166,675,1426,1
1678361167,678,1450,1
1678361167,681,1450,1
1678361168,686,1450,1
1678361170,688,1500,1
1678361171,693,1504,1
1678361172,699,1504,1
1678361172,704,1505,1
1678361173,706,1520,1
1678361175,710,1528,1
1678361176,713,1529,1
1678361177,717,1529,1
1678361178,721,1540,1
1678361178,725,1544,1
1678361179,725,1564,1
1678361180,730,1564,1
1678361182,737,1564,1
1678361183,743,1564,1
1678361184,746,1592,1
1678361184,746,1612,1
1678361185,749,1612,1
1678361186,755,1612,1
1678361188,761,1614,1
1678361189,767,1614,1
1678361190,773,1615,1
1678361190,779,1616,1
1678361191,780,1651,1
1678361193,782,1651,1
1678361194,786,1652,1
1678361195,790,1653,1
1678361195,794,1655,1
1678361196,797,1676,1
1678361197,798,1709,1
1678361198,800,1712,1
1678361200,806,1712,1
1678361201,810,1719,1
1678361202,813,1737,1
1678361202,814,1747,1
1678361203,819,1753,1
1678361205,823,1764,1
1678361206,826,1772,1
1678361207,829,1779,1
1678361207,832,1803,1
1678361208,832,1815,1
1678361209,834,1815,1
1678361211,838,1820,1
1678361212,841,1827,1
1678361212,844,1827,1
1678361213,844,1830,1
1678361214,845,1831,1
1678361215,847,1831,1
1678361216,850,1833,1
1678361218,853,1833,1
1678361218,857,1834,1
1678361219,860,1834,1
1678361220,864,1835,1
1678361221,867,1837,1
1678361223,871,1839,1
1678361224,874,1842,1
1678361224,877,1845,1
1678361225,880,1846,1
1678361226,884,1855,1
1678361227,888,1855,1
1678361228,891,1857,1
1678361229,895,1875,1
1678361230,897,1917,1
1678361231,897,1925,1
1678361232,900,1925,1
1678361233,904,1927,1
1678361235,908,1929,1
1678361236,912,1930,1
1678361236,913,1955,1
1678361237,914,1963,1
1678361238,918,1966,1
1678361239,918,1977,1
1678361241,923,1977,1
1678361242,929,1977,1
1678361242,934,1977,1
1678361243,937,1981,1
1678361244,941,1981,1
1678361245,945,1999,1
1678361246,948,2000,1
1678361248,948,2003,1
1678361248,948,2013,1
1678361249,951,2013,1
1678361250,954,2013,1
1678361251,958,2013,1
1678361252,962,2015,1
1678361254,966,2017,1
1678361254,970,2023,1
1678361255,975,2023,1
1678361256,977,2050,1
1678361257,979,2063,1
1678361258,983,2065,1
1678361259,988,2067,1
1678361261,991,2086,1
1678361261,992,2107,1
1678361262,996,2107,1
1678361263,999,2109,1
1678361264,1002,2142,1
1678361265,1004,2158,1
1678361266,1008,2158,1
1678361267,1013,2158,1
1678361268,1016,2162,1
1678361269,1016,2176,1
1678361270,1018,2179,1
1678361272,1022,2186,1
1678361272,1025,2187,1
1678361273,1026,2218,1
1678361274,1026,2225,1
1678361275,1026,2226,1
1678361277,1029,2227,1
1678361277,1029,2227,1
1678361278,1031,2227,1
1678361279,1033,2228,1
1678361280,1036,2234,1
1678361281,1039,2237,1
1678361282,1040,2244,1
1678361283,1042,2244,1
1678361284,1046,2244,1
1678361285,1049,2257,1
1678361286,1052,2260,1
1678361287,1055,2261,1
1678361288,1057,2262,1
1678361289,1060,2267,1
1678361290,1064,2269,1
1678361291,1066,2300,1
1678361292,1066,2311,1
1678361293,1070,2315,1
1678361295,1074,2320,1
1678361295,1075,2340,1
1678361296,1079,2342,1
1678361297,1083,2342,1
1678361298,1084,2378,1
1678361299,1087,2378,1
1678361300,1091,2380,1
1678361301,1092,2402,1
1678361302,1094,2402,1
1678361303,1098,2403,1
1678361304,1102,2410,1
1678361305,1105,2415,1
1678361306,1108,2421,1
1678361307,1112,2424,1
1678361308,1112,2436,1
1678361309,1114,2436,1
1678361310,1118,2439,1
1678361311,1121,2444,1
1678361312,1125,2451,1
1678361313,1128,2451,1
1678361314,1132,2452,1
1678361315,1135,2452,1
1678361316,1139,2460,1
1678361317,1143,2464,1
1678361318,1144,2469,1
1678361319,1147,2472,1
1678361320,1150,2475,1
1678361321,1153,2478,1
1678361322,1157,2479,1
1678361323,1158,2488,1
1678361324,1158,2500,1
1678361325,1158,2514,1
1678361326,1158,2528,1
1678361327,1158,2542,1
1678361328,1158,2556,1
1678361329,1158,2570,1
1678361330,1158,2584,1
1678361331,1158,2598,1
1678361332,1158,2612,1
1678361333,1158,2626,1
1678361334,1158,2640,1
1678361335,1158,2654,1
1678361336,1158,2668,1
1678361337,1158,2682,1
1678361338,1158,2696,1
1678361339,1158,2711,1
1678361340,1158,2725,1
1678361341,1158,2739,1
1678361342,1158,2753,1
1678361343,1158,2767,1
1678361344,1158,2781,1
1678361345,1158,2795,1
1678361346,1158,2809,1
1678361347,1158,2823,1
1678361348,1158,2837,1
1678361349,1158,2851,1
1678361350,1158,2865,1
1678361351,1158,2879,1
1678361352,1158,2893,1
1678361353,1158,2907,1
1678361354,1158,2921,1
1678361355,1158,2936,1
1678361356,1158,2950,1
1678361357,1158,2964,1
1678361358,1158,2978,1
1678361359,1158,2989,1
1678361360,1158,2989,1
1678361361,1158,2989,1
1678361362,1158,2989,1
1678361363,1158,2989,1
1678361364,1158,3087,1
1678361365,1159,3166,1
1678361366,1159,3166,1
1678361367,1159,3166,1
1678361368,1159,3166,1
1678361369,1159,3166,1
1678361370,1159,3166,1
1678361371,1159,3166,1
1678361372,1159,3166,1
1678361373,1159,3166,1
1678361374,1159,3166,1
1678361375,1159,3166,1
1678361376,1159,3166,1
1678361377,1159,3213,1
1678361378,1159,3236,1
