maxVelocity:7,maxTurn:150
time (UNIX seconds),cumulative movement,cumulative rotation,lap number
1678371835,0,0,0
1678371838,0,0,0
1678371839,0,0,0
1678371840,0,0,0
1678371841,0,0,0
1678371842,0,0,0
1678371843,0,0,0
1678371844,0,0,0
1678371845,0,0,0
1678371846,0,0,0
1678371847,0,0,0
1678371848,0,0,0
1678371849,0,0,0
1678371850,0,0,0
1678371851,0,0,0
1678371852,0,0,0
1678371853,0,0,0
1678371854,0,0,0
1678371855,0,0,0
1678371856,0,0,0
1678371857,0,0,0
1678371858,0,0,0
1678371859,0,0,0
1678371860,0,0,0
1678371861,0,0,0
1678371862,0,0,0
1678371863,0,0,0
1678371864,0,0,0
1678371865,0,0,0
1678371866,0,0,0
1678371867,0,0,0
1678371868,0,0,0
1678371869,0,0,0
1678371870,0,0,0
1678371871,0,0,0
1678371872,0,0,0
1678371873,0,0,0
1678371874,0,0,0
1678371875,0,0,0
1678371876,0,0,0
1678371877,0,0,0
1678371878,0,0,0
1678371879,0,0,0
1678371880,0,0,0
1678371881,0,0,0
1678371882,0,0,0
1678371883,0,0,0
1678371884,0,0,0
1678371885,0,0,0
1678371886,0,0,0
1678371887,0,0,0
1678371888,0,0,0
1678371889,0,0,0
1678371890,0,0,0
1678371891,0,0,0
1678371892,0,0,0
1678371893,0,0,0
1678371894,0,0,0
1678371895,0,0,0
1678371896,0,0,0
1678371897,0,0,0
1678371898,0,0,0
1678371899,0,0,0
1678371900,0,0,0
1678371901,0,2,0
1678371902,1,2,0
1678371903,4,3,0
1678371904,7,3,0
1678371905,10,5,0
1678371906,12,5,0
1678371907,15,7,0
1678371908,18,7,0
1678371909,22,7,0
1678371910,27,7,0
1678371911,31,7,0
1678371912,34,7,0
1678371913,36,8,0
1678371914,39,8,0
1678371915,42,8,0
1678371916,45,8,0
1678371917,48,8,0
1678371918,50,75,0
1678371919,50,107,0
1678371920,50,159,0
1678371921,52,161,0
1678371922,55,162,0
1678371923,58,162,0
1678371924,61,162,0
1678371925,64,162,0
1678371926,67,195,0
1678371927,67,273,0
1678371928,69,279,0
1678371929,73,279,0
1678371930,76,279,0
1678371931,76,284,0
1678371932,76,297,0
1678371933,77,303,0
1678371934,80,308,0
1678371935,84,308,0
1678371936,88,308,0
1678371937,88,332,0
1678371938,91,332,0
1678371939,94,332,0
1678371941,97,339,0
1678371942,97,341,0
1678371943,97,353,0
1678371944,99,355,0
1678371945,103,355,0
1678371946,104,387,0
1678371947,106,387,0
1678371948,110,387,0
1678371949,114,387,0
1678371950,116,401,0
1678371951,116,415,0
1678371952,120,415,0
