maxVelocity:7,maxTurn:150
time (UNIX seconds),cumulative movement,cumulative rotation,lap number
1678376314,0,0,0
1678376317,0,0,0
1678376318,0,0,0
1678376319,0,0,0
1678376320,0,0,0
1678376321,0,0,0
1678376322,0,0,0
1678376323,0,0,0
1678376324,0,0,0
1678376325,0,0,0
1678376326,0,0,0
1678376327,0,0,0
1678376328,0,0,0
1678376329,0,0,0
1678376330,0,0,0
1678376331,0,0,0
1678376332,0,0,0
1678376333,0,0,0
1678376334,0,0,0
1678376335,0,0,0
1678376336,0,0,0
1678376337,0,0,0
1678376338,0,0,0
1678376339,1,22,0
1678376340,9,154,0
1678376341,9,154,0
1678376342,9,154,0
1678376343,9,154,0
1678376344,9,154,0
1678376345,9,154,0
1678376346,9,154,0
1678376347,9,154,0
1678376348,9,190,0
1678376349,9,239,0
1678376350,9,263,0
1678376351,9,263,0
1678376352,9,263,0
1678376353,9,263,0
1678376354,9,263,0
1678376355,9,263,0
1678376356,9,263,0
1678376357,9,263,0
1678376358,10,263,0
1678376359,10,294,0
1678376360,10,311,0
1678376361,10,356,0
1678376362,10,366,0
1678376363,10,378,0
1678376364,10,385,0
1678376365,10,461,0
1678376366,10,465,0
1678376367,10,466,0
1678376368,10,503,0
1678376369,10,526,0
1678376370,11,526,0
1678376371,12,527,0
1678376372,12,534,0
1678376373,12,556,0
1678376374,12,560,0
1678376375,12,560,0
1678376376,12,570,0
1678376377,12,574,0
1678376378,12,574,0
1678376379,12,574,0
1678376380,12,574,0
1678376381,12,576,0
1678376382,12,576,0
1678376383,12,576,0
1678376384,12,576,0
1678376385,12,576,0
1678376386,12,576,0
1678376387,12,576,0
1678376388,12,576,0
1678376389,12,576,0
1678376390,12,576,0
1678376391,12,576,0
1678376392,12,576,0
1678376393,12,576,0
1678376394,12,576,0
1678376395,12,576,0
1678376396,12,576,0
1678376397,12,576,0
1678376398,12,576,0
1678376399,12,576,0
1678376400,14,576,0
1678376401,15,576,0
1678376402,17,580,0
1678376403,20,589,0
1678376404,24,590,0
1678376405,27,593,0
1678376406,31,602,0
1678376407,35,607,0
1678376408,39,613,0
1678376409,43,619,0
1678376410,46,626,0
1678376411,50,627,0
1678376412,55,627,0
1678376413,60,639,0
1678376414,63,744,0
1678376415,67,779,0
1678376416,71,812,0
1678376417,74,848,0
1678376418,81,849,0
1678376419,86,902,0
1678376420,87,928,0
1678376421,90,928,0
1678376422,95,928,0
1678376423,101,928,0
1678376424,105,960,0
1678376425,107,960,0
1678376426,113,960,0
1678376427,117,967,0
1678376428,120,988,0
1678376429,124,998,0
1678376430,129,1002,0
1678376431,132,1063,0
1678376432,136,1064,0
1678376433,140,1068,0
1678376434,145,1090,0
1678376435,148,1112,0
1678376436,152,1115,0
1678376437,156,1142,0
1678376438,159,1166,0
1678376439,161,1216,0
1678376440,161,1235,0
1678376441,161,1261,0
1678376442,161,1270,0
1678376443,163,1271,0
1678376444,166,1271,0
1678376445,169,1271,0
1678376446,172,1272,0
1678376447,176,1272,0
1678376448,180,1285,0
1678376449,184,1324,0
1678376450,187,1367,0
1678376451,189,1401,0
1678376452,191,1408,0
1678376453,195,1408,0
1678376454,200,1412,0
1678376455,202,1466,0
1678376456,203,1466,0
1678376457,203,1501,0
1678376458,204,1502,0
1678376459,205,1502,0
1678376460,206,1502,0
1678376461,207,1502,0
1678376462,207,1502,0
1678376463,207,1502,0
1678376464,207,1502,0
1678376465,207,1502,0
1678376466,207,1502,0
1678376467,207,1502,0
1678376468,207,1504,0
1678376469,208,1504,0
1678376470,209,1504,0
1678376471,210,1504,0
1678376472,210,1504,0
1678376473,210,1505,0
1678376474,210,1541,0
1678376475,210,1541,0
1678376476,210,1566,0
1678376477,210,1584,0
1678376478,210,1591,0
1678376479,210,1601,0
1678376480,210,1610,0
1678376481,213,1610,0
1678376482,217,1610,0
1678376483,221,1628,0
1678376484,222,1632,0
1678376485,222,1632,0
1678376486,222,1632,0
1678376487,222,1632,0
1678376488,222,1632,0
1678376489,222,1632,0
1678376490,224,1632,0
1678376491,226,1632,0
1678376492,230,1648,0
1678376493,233,1651,0
1678376494,236,1662,0
1678376495,238,1663,0
1678376496,240,1669,0
1678376497,240,1669,0
1678376498,240,1669,0
1678376499,240,1669,0
1678376500,240,1669,0
1678376501,240,1669,0
1678376502,240,1669,0
Trial ended. Best lap time:-1,total elapsed time:187
