maxVelocity:7,maxTurn:150
time (UNIX seconds),cumulative movement,cumulative rotation,lap number
1681387097,0,0,0
1681387099,0,0,0
1681387100,0,0,0
1681387101,0,0,0
1681387102,0,0,0
1681387103,0,0,0
1681387104,0,0,0
1681387105,0,0,0
1681387106,0,0,0
1681387107,0,0,0
1681387108,0,0,0
1681387109,0,0,0
1681387110,0,0,0
1681387111,0,0,0
1681387112,0,0,0
1681387113,0,0,0
1681387114,0,0,0
1681387115,0,0,0
1681387116,0,0,0
1681387117,0,0,0
1681387118,0,0,0
1681387119,0,0,0
1681387120,0,0,0
1681387121,0,0,0
1681387122,0,0,0
1681387123,4,0,0
1681387124,8,0,0
1681387125,13,0,0
1681387126,17,0,0
1681387127,22,0,0
1681387128,26,0,0
1681387129,29,0,0
1681387130,34,0,0
1681387131,38,0,0
1681387132,42,0,0
1681387133,46,0,0
1681387134,51,0,0
1681387135,56,0,0
1681387136,60,0,0
1681387137,64,10,0
1681387138,68,21,0
1681387139,74,21,0
1681387140,78,38,0
1681387141,83,52,0
1681387142,89,53,0
1681387143,92,83,0
1681387144,95,83,0
1681387145,100,90,0
1681387146,103,114,0
1681387147,107,127,0
1681387148,112,133,0
1681387149,117,141,0
1681387150,119,162,0
1681387151,125,162,0
1681387152,129,173,0
1681387153,134,174,0
1681387154,139,174,0
1681387155,143,174,0
1681387156,146,193,0
1681387157,151,193,0
1681387158,155,208,0
1681387159,159,213,0
1681387160,163,218,0
1681387161,168,238,0
1681387162,174,239,0
1681387163,177,274,0
1681387164,182,283,0
1681387165,188,283,0
1681387166,193,291,0
1681387167,198,299,0
1681387168,202,310,0
1681387169,208,313,0
1681387170,211,345,0
1681387171,216,346,0
1681387172,219,353,0
1681387173,222,363,0
1681387174,224,387,0
1681387175,228,387,0
1681387176,231,400,0
1681387177,235,400,0
1681387178,238,417,0
1681387179,240,418,0
1681387180,243,418,0
1681387181,247,426,0
1681387182,248,440,0
1681387183,251,440,0
1681387184,254,443,0
1681387185,256,443,0
1681387186,256,443,0
1681387187,256,443,0
1681387188,256,443,0
1681387189,256,447,0
1681387190,257,453,0
1681387191,258,453,0
1681387192,260,453,0
1681387193,262,453,0
1681387194,264,453,0
1681387195,266,453,0
1681387196,269,453,0
1681387197,271,453,0
1681387198,274,453,0
1681387199,276,453,0
1681387200,279,453,0
1681387201,282,453,0
1681387202,284,453,0
1681387203,284,453,0
1681387204,284,453,0
1681387205,284,453,0
1681387206,284,453,0
1681387207,286,453,0
1681387208,289,453,0
1681387209,290,453,0
1681387210,293,453,0
1681387211,296,453,0
1681387212,299,453,0
1681387213,302,453,0
1681387214,305,453,0
1681387215,308,453,0
1681387216,310,453,0
1681387217,313,453,0
1681387218,315,453,0
1681387219,318,453,0
1681387220,320,453,0
1681387221,323,453,0
1681387222,324,460,0
1681387223,326,460,0
1681387224,327,472,0
1681387225,328,487,0
1681387226,331,487,0
1681387227,333,487,0
1681387228,333,487,0
1681387229,333,487,0
1681387230,333,487,0
1681387231,333,487,0
1681387232,335,487,0
1681387233,336,487,0
1681387234,337,492,0
1681387235,339,500,0
1681387236,341,502,0
1681387237,342,511,0
1681387238,344,518,0
1681387239,345,518,0
1681387240,346,528,0
1681387241,348,528,0
1681387242,349,529,0
1681387243,349,529,0
1681387244,351,529,0
1681387245,352,529,0
1681387246,354,529,0
1681387247,357,529,0
1681387248,359,529,0
1681387249,361,529,0
1681387250,363,529,0
1681387251,365,529,0
1681387252,367,529,0
1681387253,369,530,0
1681387254,370,542,0
1681387255,370,552,0
1681387256,371,559,0
1681387257,373,559,0
1681387258,376,559,0
1681387259,377,563,0
1681387260,378,573,0
1681387261,379,581,0
1681387262,380,586,0
1681387263,382,594,0
1681387264,383,595,0
1681387265,385,595,0
1681387266,387,595,0
1681387267,389,595,0
1681387268,391,595,0
1681387269,394,595,0
1681387270,396,596,0
1681387271,398,614,0
1681387272,399,622,0
1681387273,402,622,0
1681387274,404,622,0
1681387275,407,622,0
1681387276,410,622,0
1681387277,411,633,0
1681387278,411,641,0
1681387279,414,641,0
1681387280,415,654,0
1681387281,415,658,0
1681387282,416,663,0
1681387283,417,663,0
1681387284,418,669,0
1681387285,419,669,0
1681387286,420,669,0
1681387287,421,669,0
1681387288,423,669,0
1681387289,425,669,0
1681387290,426,680,0
1681387291,426,684,0
1681387292,427,691,0
1681387293,427,693,0
1681387294,427,694,0
1681387295,427,694,0
1681387296,427,694,0
1681387297,427,694,0
1681387298,427,694,0
1681387299,427,694,0
1681387300,427,694,0
1681387301,429,694,0
1681387302,430,694,0
1681387303,431,694,0
1681387304,433,694,0
1681387305,435,694,0
1681387306,436,704,0
1681387307,436,709,0
1681387308,436,711,0
1681387309,437,716,0
1681387310,437,716,0
1681387311,437,716,0
1681387312,437,716,0
1681387313,437,716,0
1681387314,437,719,0
1681387315,438,724,0
1681387316,438,724,0
1681387317,438,724,0
1681387318,438,724,0
1681387319,439,724,0
1681387320,439,728,0
1681387321,439,728,0
1681387322,440,731,0
1681387323,440,731,0
1681387324,440,731,0
1681387325,441,731,0
1681387326,442,731,0
1681387327,443,731,0
1681387328,445,731,0
1681387329,445,733,0
1681387330,445,735,0
1681387331,445,739,0
1681387332,446,746,0
1681387333,446,746,0
1681387334,446,746,0
1681387335,446,746,0
1681387336,446,746,0
1681387337,446,746,0
1681387338,446,746,0
1681387339,446,746,0
1681387340,446,746,0
1681387341,446,746,0
1681387342,446,746,0
1681387343,446,749,0
1681387344,447,749,0
1681387345,448,749,0
1681387346,448,755,0
1681387347,450,755,0
1681387348,450,758,0
1681387349,450,758,0
1681387350,450,758,0
1681387351,450,758,0
1681387352,450,758,0
1681387353,450,758,0
1681387354,450,758,0
1681387355,450,758,0
1681387356,450,758,0
1681387357,450,758,0
1681387358,450,758,0
1681387359,450,758,0
1681387360,450,758,0
1681387361,450,758,0
1681387362,450,758,0
1681387363,450,758,0
1681387364,450,758,0
1681387365,450,758,0
1681387366,450,758,0
1681387367,450,758,0
1681387368,450,758,0
1681387369,450,758,0
1681387370,450,758,0
1681387371,450,758,0
1681387372,450,758,0
1681387373,450,758,0
1681387374,450,758,0
1681387375,450,758,0
1681387376,450,758,0
1681387377,450,758,0
1681387378,450,758,0
1681387379,450,758,0
1681387380,450,758,0
1681387381,450,758,0
1681387382,450,758,0
1681387383,450,758,0
1681387384,450,758,0
1681387385,452,758,0
1681387386,453,758,0
1681387387,454,758,0
1681387388,455,758,0
1681387389,455,758,0
1681387390,456,759,0
1681387391,457,759,0
1681387392,457,761,0
1681387393,457,762,0
1681387394,459,762,0
1681387395,460,762,0
1681387396,461,762,0
1681387397,462,762,0
1681387398,463,762,0
1681387399,464,762,0
1681387400,466,762,0
1681387401,466,762,0
1681387402,468,762,0
1681387403,470,762,0
1681387404,471,762,0
1681387405,472,762,0
1681387406,473,762,0
1681387407,475,762,0
1681387408,475,762,0
1681387409,476,762,0
1681387410,477,762,0
1681387411,478,762,0
1681387412,479,763,0
1681387413,479,763,0
1681387414,480,763,0
1681387415,481,763,0
1681387416,482,763,0
1681387417,483,763,0
1681387418,484,763,0
1681387419,485,763,0
1681387420,486,763,0
1681387421,488,763,0
1681387422,488,763,0
1681387423,489,763,0
1681387424,489,763,0
1681387425,489,763,0
1681387426,489,763,0
1681387427,489,763,0
1681387428,490,763,0
1681387429,490,766,0
1681387430,490,770,0
1681387431,491,770,0
1681387432,492,771,0
1681387433,493,780,0
1681387434,495,780,0
1681387435,495,780,0
1681387436,495,780,0
1681387437,495,780,0
1681387438,495,780,0
1681387439,495,780,0
1681387440,495,780,0
1681387441,495,780,0
1681387442,495,780,0
1681387443,496,780,0
1681387444,496,780,0
1681387445,497,780,0
1681387446,498,780,0
1681387447,499,785,0
1681387448,499,791,0
1681387449,499,792,0
1681387450,500,792,0
1681387451,501,792,0
1681387452,502,792,0
1681387453,503,792,0
1681387454,504,792,0
1681387455,505,792,0
1681387456,505,792,0
1681387457,506,792,0
1681387458,506,795,0
1681387459,507,799,0
1681387460,507,802,0
1681387461,508,802,0
1681387462,510,802,0
1681387463,511,802,0
1681387464,512,802,0
1681387465,513,807,0
1681387466,513,812,0
1681387467,514,813,0
1681387468,515,813,0
1681387469,515,818,0
1681387470,516,819,0
1681387471,517,819,0
1681387472,518,819,0
1681387473,519,819,0
1681387474,520,824,0
1681387475,520,831,0
1681387476,520,834,0
1681387477,522,834,0
1681387478,523,836,0
1681387479,523,836,0
1681387480,523,836,0
1681387481,523,836,0
1681387482,523,836,0
1681387483,523,836,0
1681387484,523,836,0
1681387485,523,836,0
1681387486,523,836,0
1681387487,523,836,0
1681387488,523,836,0
1681387489,523,836,0
1681387490,523,836,0
1681387491,523,836,0
1681387492,523,836,0
1681387493,523,836,0
1681387494,523,836,0
1681387495,523,836,0
1681387496,523,836,0
1681387497,523,836,0
1681387498,523,836,0
1681387499,523,836,0
1681387500,523,836,0
1681387501,523,836,0
1681387502,523,836,0
1681387503,523,836,0
1681387504,523,836,0
1681387505,524,836,0
1681387506,525,841,0
1681387507,526,841,0
1681387508,526,843,0
1681387509,527,850,0
1681387510,528,850,0
1681387511,530,850,0
1681387512,531,850,0
1681387513,531,850,0
1681387514,532,850,0
1681387515,534,850,0
1681387516,535,850,0
1681387517,536,850,0
1681387518,537,850,0
1681387519,538,854,0
1681387520,539,854,0
1681387521,541,854,0
1681387522,543,854,0
1681387523,544,854,0
1681387524,545,854,0
1681387525,547,854,0
1681387526,547,854,0
1681387527,549,854,0
1681387528,550,854,0
1681387529,551,854,0
1681387530,552,854,0
1681387531,553,854,0
1681387532,555,854,0
1681387533,557,854,0
1681387534,558,854,0
1681387535,559,854,0
1681387536,561,854,0
1681387537,562,854,0
1681387538,564,854,0
1681387539,565,854,0
1681387540,566,854,0
1681387541,567,854,0
1681387542,568,854,0
1681387543,570,854,0
1681387544,571,854,0
1681387545,571,854,0
1681387546,572,854,0
1681387547,574,854,0
1681387548,575,854,0
1681387549,576,854,0
1681387550,577,855,0
1681387551,577,861,0
1681387552,578,861,0
1681387553,580,861,0
1681387554,581,861,0
1681387555,582,861,0
1681387556,583,861,0
1681387557,584,862,0
1681387558,585,862,0
1681387559,585,863,0
1681387560,587,863,0
1681387561,587,863,0
1681387562,589,863,0
1681387563,590,863,0
1681387564,590,867,0
1681387565,590,867,0
1681387566,591,867,0
1681387567,593,867,0
1681387568,594,867,0
1681387569,594,867,0
1681387570,596,867,0
1681387571,597,867,0
1681387572,598,867,0
1681387573,599,867,0
1681387574,600,867,1
1681387575,602,867,1
1681387576,603,867,1
1681387577,603,867,1
1681387578,605,867,1
1681387579,605,867,1
1681387580,606,867,1
1681387581,608,867,1
1681387582,608,867,1
1681387583,609,867,1
1681387584,610,867,1
1681387585,611,867,1
1681387586,611,867,1
1681387587,612,867,1
1681387588,612,867,1
1681387589,613,867,1
1681387590,614,867,1
1681387591,615,867,1
1681387592,616,867,1
1681387593,617,867,1
1681387594,618,867,1
1681387595,619,867,1
1681387596,620,867,1
1681387597,621,867,1
1681387598,622,867,1
1681387599,623,867,1
1681387600,624,867,1
1681387601,625,867,1
1681387602,626,867,1
1681387603,627,867,1
1681387604,629,867,1
1681387605,630,867,1
1681387606,631,867,1
1681387607,632,867,1
1681387608,633,867,1
1681387609,634,867,1
1681387610,635,867,1
1681387611,636,867,1
1681387612,637,867,1
1681387613,637,867,1
1681387614,637,867,1
1681387615,637,867,1
1681387616,638,867,1
1681387617,638,867,1
1681387618,639,867,1
1681387619,639,869,1
1681387620,640,869,1
1681387621,641,869,1
1681387622,642,869,1
1681387623,643,869,1
1681387624,644,869,1
1681387625,644,869,1
1681387626,644,869,1
1681387627,645,869,1
1681387628,645,869,1
1681387629,646,869,1
1681387630,647,869,1
1681387631,648,869,1
1681387632,649,869,1
1681387633,649,869,1
1681387634,651,869,1
1681387635,652,869,1
1681387636,653,869,1
1681387637,655,869,1
1681387638,656,869,1
1681387639,656,869,1
1681387640,658,869,1
1681387641,659,869,1
1681387642,659,870,1
1681387643,659,878,1
1681387644,660,884,1
1681387645,660,893,1
1681387646,661,899,1
1681387647,661,902,1
1681387648,663,902,1
1681387649,663,906,1
1681387650,664,906,1
1681387651,666,906,1
1681387652,667,906,1
1681387653,667,906,1
1681387654,667,906,1
1681387655,668,909,1
1681387656,669,922,1
1681387657,670,935,1
1681387658,670,939,1
1681387659,671,939,1
1681387660,672,939,1
1681387661,672,939,1
1681387662,674,939,1
1681387663,674,939,1
1681387664,675,939,1
1681387665,676,939,1
1681387666,677,939,1
1681387667,678,939,1
1681387668,678,946,1
1681387669,678,946,1
1681387670,679,946,1
1681387671,680,946,1
1681387672,681,946,1
1681387673,682,952,1
1681387674,682,954,1
1681387675,682,964,1
1681387676,684,964,1
1681387677,685,964,1
1681387678,686,964,1
1681387679,687,964,1
1681387680,688,972,1
1681387681,688,981,1
1681387682,689,983,1
1681387683,689,987,1
1681387684,692,987,1
1681387685,692,995,1
1681387686,693,995,1
1681387687,694,995,1
1681387688,696,995,1
1681387689,697,995,1
1681387690,698,995,1
1681387691,699,999,1
1681387692,699,1005,1
1681387693,700,1009,1
1681387694,701,1009,1
1681387695,702,1014,1
1681387696,702,1015,1
1681387697,703,1015,1
1681387698,704,1019,1
Trial ended. Best lap time:448.6841,total elapsed time:600
