maxVelocity:7,maxTurn:150
time (UNIX seconds),cumulative movement,cumulative rotation,lap number
1681393018,0,0,0
1681393021,0,0,0
1681393022,0,0,0
1681393023,0,0,0
1681393024,0,0,0
1681393025,0,0,0
1681393026,0,0,0
1681393027,0,0,0
1681393028,0,0,0
1681393029,0,0,0
1681393030,0,0,0
1681393031,0,0,0
1681393032,0,0,0
1681393033,0,0,0
1681393034,0,0,0
1681393035,0,0,0
1681393036,0,0,0
1681393037,0,0,0
1681393038,0,0,0
1681393039,0,0,0
1681393040,0,0,0
1681393041,0,0,0
1681393042,0,0,0
1681393043,0,0,0
1681393044,0,0,0
1681393045,0,0,0
1681393046,0,0,0
1681393047,0,0,0
1681393048,0,0,0
1681393049,0,0,0
1681393050,0,0,0
1681393051,0,0,0
1681393052,0,0,0
1681393053,0,0,0
1681393054,0,0,0
1681393055,0,0,0
1681393056,0,0,0
1681393057,0,0,0
1681393058,0,1,0
1681393059,0,4,0
1681393060,1,4,0
1681393061,3,4,0
1681393062,7,4,0
1681393063,11,4,0
1681393064,16,4,0
1681393065,21,4,0
1681393066,25,4,0
1681393067,29,4,0
1681393068,34,4,0
1681393069,39,4,0
1681393070,44,4,0
1681393071,50,4,0
1681393072,54,4,0
1681393073,57,4,0
1681393074,60,16,0
1681393075,61,28,0
1681393076,63,61,0
1681393077,66,65,0
1681393078,71,65,0
1681393079,75,78,0
1681393080,76,91,0
1681393081,82,91,0
1681393082,86,94,0
1681393083,88,108,0
1681393084,91,108,0
1681393085,93,128,0
1681393086,98,128,0
1681393087,100,140,0
1681393088,101,156,0
1681393089,103,164,0
1681393090,107,165,0
1681393091,108,170,0
1681393092,112,170,0
1681393093,114,183,0
1681393094,115,196,0
1681393095,121,196,0
1681393096,124,209,0
1681393097,125,222,0
1681393098,129,222,0
1681393099,131,225,0
1681393100,133,225,0
1681393101,137,225,0
1681393102,137,231,0
1681393103,142,231,0
1681393104,146,231,0
1681393105,149,233,0
1681393106,151,233,0
1681393107,155,233,0
1681393108,157,257,0
1681393109,161,257,0
1681393110,162,274,0
1681393111,165,278,0
1681393112,169,278,0
1681393113,172,278,0
1681393114,175,309,0
1681393115,175,310,0
1681393116,179,310,0
1681393117,184,310,0
1681393118,186,319,0
1681393119,189,328,0
1681393120,194,328,0
1681393121,201,328,0
1681393122,205,348,0
1681393123,206,368,0
1681393124,212,368,0
1681393125,216,375,0
1681393126,218,401,0
1681393127,224,405,0
1681393128,228,411,0
1681393129,233,413,0
1681393130,238,420,0
1681393131,239,439,0
1681393132,241,463,0
1681393133,244,463,0
1681393134,247,468,0
1681393135,248,475,0
1681393136,253,475,0
1681393137,258,475,0
1681393138,264,475,0
1681393139,269,475,0
1681393140,273,475,0
1681393141,278,475,0
1681393142,284,475,0
1681393143,289,475,0
1681393144,293,475,0
1681393145,297,475,0
1681393146,301,475,0
1681393147,307,475,0
1681393148,311,475,0
1681393149,315,475,0
1681393150,319,480,0
1681393151,320,493,0
1681393152,322,521,0
1681393153,325,552,0
1681393154,331,552,0
1681393155,334,579,0
1681393156,340,580,0
1681393157,347,580,0
1681393158,353,580,0
1681393159,358,580,0
1681393160,361,584,0
1681393161,363,605,0
1681393162,364,621,0
1681393163,369,623,0
1681393164,372,635,0
1681393165,375,663,0
1681393166,380,663,0
1681393167,384,668,0
1681393168,385,688,0
1681393169,387,691,0
1681393170,393,691,0
1681393171,393,707,0
1681393172,393,741,0
1681393173,393,747,0
1681393174,399,747,0
1681393175,401,767,0
1681393176,401,775,0
1681393177,407,775,0
1681393178,414,775,0
1681393179,416,801,0
1681393180,416,825,0
1681393181,421,826,0
1681393182,423,844,0
1681393183,426,844,0
1681393184,431,844,0
1681393185,433,868,0
1681393186,439,868,0
1681393187,439,890,0
1681393188,444,890,0
1681393189,445,903,0
1681393190,449,903,0
1681393191,451,906,0
1681393192,455,906,0
1681393193,458,906,0
1681393194,464,906,0
1681393195,465,907,0
1681393196,471,907,0
1681393197,475,907,0
1681393198,479,907,0
1681393199,485,907,0
1681393200,487,917,0
1681393201,487,920,0
1681393202,494,920,0
1681393203,496,937,0
1681393204,496,944,0
1681393205,503,944,0
1681393206,505,956,0
1681393207,506,959,0
1681393208,513,959,0
1681393209,513,977,0
1681393210,514,977,0
1681393211,518,984,0
1681393212,518,996,0
1681393213,523,996,0
1681393214,525,1001,0
1681393215,530,1001,0
1681393216,535,1001,0
1681393217,538,1001,0
1681393218,544,1001,0
1681393219,549,1001,0
1681393220,554,1001,0
1681393221,559,1001,0
1681393222,565,1001,0
1681393223,568,1001,0
1681393224,573,1001,0
1681393225,579,1001,0
1681393226,585,1001,0
1681393227,588,1001,0
1681393228,592,1001,0
1681393229,598,1001,1
1681393230,603,1001,1
1681393231,607,1001,1
1681393232,608,1007,1
1681393233,609,1018,1
1681393234,609,1029,1
1681393235,610,1034,1
1681393236,610,1034,1
1681393237,615,1034,1
1681393238,618,1053,1
1681393239,623,1054,1
1681393240,623,1059,1
1681393241,623,1064,1
1681393242,625,1064,1
1681393243,630,1064,1
1681393244,635,1064,1
1681393245,639,1064,1
1681393246,639,1071,1
1681393247,644,1071,1
1681393248,648,1071,1
1681393249,650,1073,1
1681393250,650,1096,1
1681393251,650,1108,1
1681393252,657,1108,1
1681393253,657,1130,1
1681393254,657,1171,1
1681393255,659,1172,1
1681393256,664,1172,1
1681393257,664,1198,1
1681393258,664,1225,1
1681393259,668,1227,1
1681393260,673,1227,1
1681393261,676,1242,1
1681393262,677,1263,1
1681393263,680,1265,1
1681393264,684,1266,1
1681393265,686,1287,1
1681393266,688,1310,1
1681393267,696,1310,1
1681393268,701,1311,1
1681393269,702,1319,1
1681393270,705,1323,1
1681393271,710,1326,1
1681393272,711,1342,1
1681393273,712,1357,1
1681393274,716,1357,1
1681393275,720,1357,1
1681393276,723,1357,1
1681393277,729,1357,1
1681393278,733,1357,1
1681393279,737,1358,1
1681393280,738,1377,1
1681393281,744,1377,1
1681393282,745,1396,1
1681393283,750,1396,1
1681393284,755,1396,1
1681393285,756,1412,1
1681393286,759,1412,1
1681393287,762,1426,1
1681393288,765,1427,1
1681393289,770,1427,1
1681393290,776,1427,1
1681393291,783,1427,1
1681393292,783,1445,1
1681393293,788,1446,1
1681393294,792,1460,1
1681393295,792,1477,1
1681393296,799,1477,1
1681393297,800,1507,1
1681393298,800,1521,1
1681393299,804,1521,1
1681393300,809,1521,1
1681393301,813,1523,1
1681393302,813,1558,1
1681393303,813,1577,1
1681393304,820,1577,1
1681393305,821,1595,1
1681393306,821,1608,1
1681393307,827,1609,1
1681393308,830,1610,1
1681393309,830,1621,1
1681393310,833,1621,1
1681393311,834,1628,1
1681393312,834,1628,1
1681393313,840,1628,1
1681393314,840,1636,1
1681393315,840,1636,1
1681393316,844,1636,1
1681393317,848,1636,1
1681393318,853,1636,1
1681393319,858,1636,1
1681393320,862,1636,1
1681393321,866,1636,1
1681393322,872,1636,1
1681393323,877,1636,1
1681393324,880,1636,1
1681393325,886,1636,1
1681393326,892,1636,1
1681393327,896,1636,1
1681393328,901,1636,1
1681393329,906,1636,1
1681393330,907,1660,1
1681393331,907,1696,1
1681393332,910,1696,1
1681393333,913,1708,1
1681393334,914,1724,1
1681393335,920,1724,1
1681393336,921,1752,1
1681393337,924,1752,1
1681393338,928,1760,1
1681393339,929,1761,1
1681393340,934,1761,1
1681393341,940,1761,1
1681393342,945,1761,1
1681393343,946,1771,1
1681393344,947,1781,1
1681393345,953,1781,1
1681393346,954,1802,1
1681393347,958,1802,1
1681393348,961,1815,1
1681393349,962,1821,1
1681393350,969,1821,1
1681393351,975,1821,1
1681393352,981,1821,1
1681393353,986,1821,1
1681393354,986,1851,1
1681393355,986,1899,1
1681393356,991,1899,1
1681393357,994,1929,1
1681393358,996,1938,1
1681393359,999,1941,1
1681393360,999,1955,1
1681393361,1003,1955,1
1681393362,1007,1955,1
1681393363,1007,1975,1
1681393364,1008,1985,1
1681393365,1015,1985,1
1681393366,1020,1985,1
1681393367,1021,2011,1
1681393368,1022,2020,1
1681393369,1029,2020,1
1681393370,1030,2035,1
1681393371,1032,2035,1
