maxVelocity:7,maxTurn:150
time (UNIX seconds),cumulative movement,cumulative rotation,lap number
1681382687,0,0,0
1681382689,0,0,0
1681382690,0,0,0
1681382691,0,0,0
1681382692,0,0,0
1681382693,0,0,0
1681382694,0,0,0
1681382695,0,0,0
1681382696,0,0,0
1681382697,0,0,0
1681382698,0,0,0
1681382699,0,0,0
1681382700,0,0,0
1681382701,0,0,0
1681382702,0,0,0
1681382703,0,0,0
1681382704,0,0,0
1681382705,0,0,0
1681382706,0,0,0
1681382707,0,0,0
1681382708,0,0,0
1681382709,0,0,0
1681382710,0,0,0
1681382711,0,0,0
1681382712,0,0,0
1681382713,0,0,0
1681382714,0,0,0
1681382715,0,0,0
1681382716,0,0,0
1681382717,0,0,0
1681382718,0,0,0
1681382719,1,0,0
1681382720,8,0,0
1681382721,15,0,0
1681382722,22,0,0
1681382723,28,0,0
1681382724,35,0,0
1681382725,43,0,0
1681382726,50,0,0
1681382727,57,0,0
1681382728,64,11,0
1681382729,73,24,0
1681382730,81,49,0
1681382731,89,81,0
1681382732,96,90,0
1681382733,103,124,0
1681382734,112,146,0
1681382735,119,171,0
1681382736,127,171,0
1681382737,135,171,0
1681382738,143,171,0
1681382739,151,182,0
1681382740,158,208,0
1681382741,168,208,0
1681382742,177,210,0
1681382743,185,220,0
1681382744,194,240,0
1681382745,203,263,0
1681382746,209,292,0
1681382747,217,310,0
1681382748,225,333,0
1681382749,232,350,0
1681382750,237,364,0
1681382751,245,364,0
1681382752,252,364,0
1681382753,260,364,0
1681382754,267,367,0
1681382755,275,376,0
1681382756,282,376,0
1681382757,290,376,0
1681382758,298,377,0
1681382759,305,406,0
1681382760,310,412,0
1681382761,319,413,0
1681382762,328,440,0
1681382763,336,446,0
1681382764,345,446,0
1681382765,355,458,0
1681382766,364,471,0
1681382767,373,478,0
1681382768,383,478,0
1681382769,392,480,0
1681382770,400,513,0
1681382771,407,527,0
1681382772,413,556,0
1681382773,421,579,0
1681382774,430,594,0
1681382775,436,627,0
1681382776,443,627,0
1681382777,450,627,0
1681382778,457,627,0
1681382779,464,627,0
1681382780,472,627,0
1681382781,479,631,0
1681382782,485,667,0
1681382783,494,676,0
1681382784,501,704,0
1681382785,508,720,0
1681382786,515,721,0
1681382787,522,721,0
1681382788,530,721,0
1681382789,537,721,0
1681382790,544,721,0
1681382791,552,721,0
1681382792,559,721,0
1681382793,566,725,0
1681382794,573,725,0
1681382795,580,725,1
1681382796,588,725,1
1681382797,595,725,1
1681382798,602,725,1
1681382799,609,725,1
1681382800,616,725,1
1681382801,624,725,1
1681382802,631,733,1
1681382803,638,750,1
1681382804,646,761,1
1681382805,653,778,1
1681382806,658,808,1
1681382807,664,815,1
1681382808,669,845,1
1681382809,676,851,1
1681382810,682,879,1
1681382811,687,888,1
1681382812,695,889,1
1681382813,701,893,1
1681382814,708,893,1
1681382815,716,893,1
1681382816,722,925,1
1681382817,731,930,1
1681382818,740,930,1
1681382819,750,930,1
1681382820,760,930,1
1681382821,767,948,1
1681382822,773,967,1
1681382823,778,987,1
1681382824,783,1000,1
1681382825,789,1022,1
1681382826,796,1038,1
1681382827,804,1040,1
1681382828,808,1063,1
1681382829,814,1063,1
1681382830,821,1063,1
1681382831,826,1066,1
1681382832,831,1068,1
1681382833,837,1068,1
1681382834,843,1068,1
1681382835,850,1068,1
1681382836,856,1068,1
1681382837,862,1068,1
1681382838,867,1068,1
1681382839,873,1068,1
1681382840,879,1078,1
1681382841,883,1118,1
1681382842,890,1118,1
1681382843,896,1131,1
1681382844,904,1131,1
1681382845,911,1132,1
1681382846,917,1149,1
1681382847,924,1154,1
1681382848,931,1157,1
1681382849,938,1163,1
1681382850,946,1163,1
1681382851,953,1163,1
1681382852,959,1186,1
1681382853,965,1204,1
1681382854,970,1211,1
1681382855,975,1238,1
1681382856,981,1245,1
1681382857,986,1278,1
1681382858,994,1278,1
1681382859,997,1307,1
1681382860,1004,1307,1
1681382861,1011,1307,1
1681382862,1018,1307,1
1681382863,1024,1307,1
1681382864,1030,1307,1
1681382865,1036,1307,1
1681382866,1041,1311,1
1681382867,1044,1339,1
1681382868,1051,1339,1
1681382869,1054,1385,1
1681382870,1060,1386,1
1681382871,1067,1386,1
1681382872,1072,1391,1
1681382873,1076,1406,1
1681382874,1082,1406,1
1681382875,1089,1406,1
1681382876,1095,1406,1
1681382877,1101,1407,1
1681382878,1108,1407,1
1681382879,1114,1407,1
1681382880,1120,1407,1
1681382881,1126,1414,1
1681382882,1133,1414,1
1681382883,1140,1414,1
1681382884,1147,1414,2
1681382885,1153,1414,2
1681382886,1158,1422,2
1681382887,1165,1422,2
1681382888,1171,1422,2
1681382889,1177,1424,2
1681382890,1183,1433,2
1681382891,1190,1433,2
1681382892,1197,1433,2
1681382893,1204,1433,2
1681382894,1209,1463,2
1681382895,1216,1474,2
1681382896,1220,1500,2
1681382897,1226,1500,2
1681382898,1231,1515,2
1681382899,1236,1534,2
1681382900,1241,1557,2
1681382901,1246,1567,2
1681382902,1252,1583,2
1681382903,1257,1586,2
1681382904,1261,1598,2
1681382905,1266,1598,2
1681382906,1273,1598,2
1681382907,1280,1599,2
1681382908,1285,1632,2
1681382909,1293,1640,2
1681382910,1302,1640,2
1681382911,1310,1640,2
1681382912,1319,1640,2
1681382913,1328,1640,2
1681382914,1333,1667,2
1681382915,1338,1685,2
1681382916,1343,1686,2
1681382917,1348,1695,2
1681382918,1353,1718,2
1681382919,1357,1748,2
1681382920,1365,1751,2
1681382921,1370,1767,2
1681382922,1375,1769,2
1681382923,1382,1770,2
1681382924,1387,1782,2
1681382925,1393,1787,2
1681382926,1401,1787,2
1681382927,1407,1801,2
1681382928,1413,1802,2
1681382929,1420,1803,2
1681382930,1427,1804,2
1681382931,1433,1804,2
1681382932,1440,1804,2
1681382933,1446,1806,2
1681382934,1452,1822,2
1681382935,1459,1838,2
1681382936,1464,1868,2
1681382937,1472,1868,2
1681382938,1480,1868,2
1681382939,1486,1887,2
1681382940,1492,1907,2
1681382941,1500,1907,2
1681382942,1509,1907,2
1681382943,1517,1907,2
1681382944,1524,1924,2
1681382945,1531,1934,2
1681382946,1537,1960,2
1681382947,1543,1969,2
1681382948,1547,1993,2
1681382949,1554,1993,2
1681382950,1559,2022,2
1681382951,1565,2042,2
1681382952,1571,2052,2
1681382953,1577,2059,2
1681382954,1583,2059,2
1681382955,1589,2059,2
1681382956,1595,2059,2
1681382957,1602,2059,2
1681382958,1608,2059,2
1681382959,1613,2082,2
1681382960,1620,2092,2
1681382961,1627,2111,2
1681382962,1634,2120,2
1681382963,1638,2149,2
1681382964,1644,2149,2
1681382965,1651,2149,2
1681382966,1657,2149,2
1681382967,1663,2149,2
1681382968,1669,2149,2
1681382969,1675,2149,2
1681382970,1682,2149,2
1681382971,1688,2149,2
1681382972,1694,2149,2
1681382973,1700,2149,2
1681382974,1707,2149,2
1681382975,1714,2149,3
1681382976,1719,2149,3
1681382977,1724,2153,3
1681382978,1731,2153,3
1681382979,1736,2163,3
1681382980,1742,2163,3
1681382981,1749,2163,3
1681382982,1755,2163,3
1681382983,1759,2183,3
1681382984,1766,2183,3
1681382985,1772,2190,3
1681382986,1779,2208,3
1681382987,1785,2228,3
1681382988,1791,2235,3
1681382989,1796,2260,3
1681382990,1800,2284,3
1681382991,1805,2287,3
1681382992,1810,2310,3
1681382993,1815,2310,3
1681382994,1820,2319,3
1681382995,1824,2332,3
1681382996,1828,2346,3
1681382997,1833,2346,3
1681382998,1840,2346,3
1681382999,1845,2363,3
1681383000,1851,2388,3
1681383001,1860,2389,3
1681383002,1868,2389,3
1681383003,1876,2389,3
1681383004,1884,2389,3
1681383005,1892,2389,3
1681383006,1900,2398,3
1681383007,1905,2427,3
1681383008,1909,2439,3
1681383009,1914,2448,3
1681383010,1919,2475,3
1681383011,1925,2478,3
1681383012,1930,2499,3
1681383013,1936,2499,3
1681383014,1941,2518,3
1681383015,1946,2526,3
1681383016,1952,2526,3
1681383017,1960,2526,3
1681383018,1967,2526,3
1681383019,1973,2526,3
1681383020,1980,2526,3
1681383021,1987,2526,3
1681383022,1994,2526,3
1681383023,2000,2526,3
1681383024,2006,2543,3
1681383025,2013,2550,3
1681383026,2019,2570,3
1681383027,2026,2579,3
1681383028,2033,2587,3
1681383029,2041,2587,3
1681383030,2048,2588,3
1681383031,2054,2591,3
1681383032,2060,2616,3
1681383033,2069,2616,3
1681383034,2078,2616,3
1681383035,2087,2616,3
1681383036,2094,2630,3
1681383037,2099,2655,3
1681383038,2106,2657,3
1681383039,2109,2690,3
1681383040,2115,2693,3
1681383041,2120,2726,3
1681383042,2126,2741,3
1681383043,2134,2741,3
1681383044,2139,2760,3
1681383045,2144,2765,3
1681383046,2149,2765,3
1681383047,2154,2765,3
1681383048,2160,2765,3
1681383049,2165,2765,3
1681383050,2169,2765,3
1681383051,2174,2765,3
1681383052,2179,2765,3
1681383053,2183,2781,3
1681383054,2186,2813,3
1681383055,2194,2815,3
1681383056,2198,2848,3
1681383057,2203,2856,3
1681383058,2209,2856,3
1681383059,2214,2856,3
1681383060,2219,2856,3
1681383061,2225,2860,3
1681383062,2230,2867,3
1681383063,2234,2875,3
1681383064,2240,2875,3
1681383065,2246,2875,3
1681383066,2252,2875,3
1681383067,2258,2875,3
1681383068,2264,2875,3
1681383069,2269,2875,3
1681383070,2276,2875,4
1681383071,2282,2875,4
1681383072,2288,2875,4
1681383073,2294,2875,4
1681383074,2300,2875,4
1681383075,2306,2875,4
1681383076,2312,2875,4
1681383077,2318,2875,4
1681383078,2323,2875,4
1681383079,2328,2881,4
1681383080,2333,2906,4
1681383081,2340,2915,4
