maxVelocity:7,maxTurn:150
time (UNIX seconds),cumulative movement,cumulative rotation,lap number
1681390811,0,0,0
1681390814,0,0,0
1681390815,0,0,0
1681390816,0,0,0
1681390817,0,0,0
1681390818,0,0,0
1681390819,0,0,0
1681390820,0,0,0
1681390821,0,0,0
1681390822,0,0,0
1681390823,0,0,0
1681390824,0,0,0
1681390825,0,0,0
1681390826,0,0,0
1681390827,0,0,0
1681390828,0,0,0
1681390829,0,0,0
1681390830,0,0,0
1681390831,0,0,0
1681390832,0,0,0
1681390833,0,0,0
1681390834,0,0,0
1681390835,0,0,0
1681390836,0,0,0
1681390837,0,0,0
1681390838,0,0,0
1681390839,0,0,0
1681390840,2,0,0
1681390841,5,0,0
1681390842,9,0,0
1681390843,13,0,0
1681390844,16,0,0
1681390845,22,0,0
1681390846,27,0,0
1681390847,32,0,0
1681390848,37,0,0
1681390849,41,0,0
1681390850,46,0,0
1681390851,51,0,0
1681390852,55,0,0
1681390853,58,0,0
1681390854,61,10,0
1681390855,64,11,0
1681390856,67,11,0
1681390857,70,11,0
1681390858,73,25,0
1681390859,75,50,0
1681390860,79,50,0
1681390861,85,50,0
1681390862,87,75,0
1681390863,91,75,0
1681390864,94,89,0
1681390865,96,94,0
1681390866,98,112,0
1681390867,101,112,0
1681390868,104,118,0
1681390869,107,127,0
1681390870,110,137,0
1681390871,113,140,0
1681390872,116,156,0
1681390873,119,167,0
1681390874,122,167,0
1681390875,125,167,0
1681390876,129,171,0
1681390877,132,173,0
1681390878,138,173,0
1681390879,143,173,0
1681390880,150,173,0
1681390881,152,181,0
1681390882,157,181,0
1681390883,161,185,0
1681390884,164,207,0
1681390885,169,207,0
1681390886,171,222,0
1681390887,175,223,0
1681390888,176,233,0
1681390889,178,239,0
1681390890,180,250,0
1681390891,183,252,0
1681390892,186,262,0
1681390893,189,265,0
1681390894,191,279,0
1681390895,195,281,0
1681390896,198,292,0
1681390897,200,304,0
1681390898,203,311,0
1681390899,206,317,0
1681390900,208,326,0
1681390901,210,326,0
1681390902,212,337,0
1681390903,214,348,0
1681390904,217,354,0
1681390905,221,361,0
1681390906,224,382,0
1681390907,229,382,0
1681390908,231,398,0
1681390909,235,405,0
1681390910,238,412,0
1681390911,241,412,0
1681390912,244,418,0
1681390913,247,418,0
1681390914,251,418,0
1681390915,253,430,0
1681390916,256,441,0
1681390917,257,444,0
