maxVelocity:7,maxTurn:150
time (UNIX seconds),cumulative movement,cumulative rotation,lap number
1681820046,0,0,0
1681820048,0,0,0
1681820049,0,0,0
1681820050,0,0,0
1681820051,0,0,0
1681820052,0,0,0
1681820053,0,0,0
1681820054,0,0,0
1681820055,0,0,0
1681820056,0,0,0
1681820057,0,0,0
1681820058,0,0,0
1681820059,0,0,0
1681820060,0,0,0
1681820061,0,0,0
1681820062,0,0,0
1681820063,0,0,0
1681820064,0,0,0
1681820065,0,0,0
1681820066,0,0,0
1681820067,0,0,0
1681820068,0,0,0
1681820069,0,0,0
1681820070,0,0,0
1681820071,0,0,0
1681820072,0,0,0
1681820073,0,0,0
1681820074,0,0,0
1681820075,0,0,0
1681820076,0,0,0
1681820077,0,0,0
1681820078,0,0,0
1681820079,0,0,0
1681820080,0,0,0
1681820081,0,0,0
1681820082,0,0,0
1681820083,0,0,0
1681820084,0,0,0
1681820085,0,0,0
1681820086,0,0,0
1681820087,0,0,0
1681820088,0,0,0
1681820089,0,0,0
1681820090,0,0,0
1681820091,0,0,0
1681820092,0,0,0
1681820093,0,0,0
1681820094,0,0,0
1681820095,0,0,0
1681820096,0,0,0
1681820097,0,0,0
1681820098,4,0,0
1681820099,9,0,0
1681820100,15,0,0
1681820101,21,0,0
1681820102,27,0,0
1681820103,33,0,0
1681820104,39,0,0
1681820105,44,0,0
1681820106,50,0,0
1681820107,56,0,0
1681820108,61,13,0
1681820109,62,47,0
1681820110,62,62,0
1681820111,64,69,0
1681820112,68,87,0
1681820113,69,124,0
1681820114,72,124,0
1681820115,77,136,0
1681820116,81,158,0
1681820117,87,158,0
1681820118,92,164,0
1681820119,95,202,0
1681820120,99,202,0
1681820121,104,202,0
1681820122,107,226,0
1681820123,112,226,0
1681820124,118,233,0
1681820125,119,266,0
1681820126,120,266,0
1681820127,124,266,0
1681820128,127,266,0
1681820129,131,270,0
1681820130,134,272,0
1681820131,139,272,0
1681820132,142,296,0
1681820133,142,311,0
1681820134,143,311,0
1681820135,146,311,0
1681820136,150,311,0
1681820137,155,311,0
1681820138,156,352,0
1681820139,157,353,0
1681820140,162,353,0
1681820141,168,353,0
1681820142,170,381,0
1681820143,170,381,0
1681820144,171,381,0
1681820145,174,381,0
1681820146,180,381,0
1681820147,185,381,0
1681820148,190,381,0
1681820149,192,396,0
1681820150,193,398,0
1681820151,193,398,0
1681820152,193,398,0
1681820153,193,398,0
1681820154,193,398,0
1681820155,193,398,0
1681820156,193,398,0
1681820157,193,398,0
1681820158,193,398,0
1681820159,196,398,0
1681820160,199,398,0
1681820161,204,400,0
1681820162,204,432,0
1681820163,206,432,0
1681820164,208,432,0
1681820165,212,432,0
1681820166,216,432,0
1681820167,217,450,0
1681820168,217,450,0
1681820169,217,450,0
1681820170,217,450,0
1681820171,217,453,0
1681820172,217,463,0
1681820173,218,468,0
1681820174,218,468,0
1681820175,218,468,0
1681820176,220,468,0
1681820177,224,468,0
1681820178,225,494,0
1681820179,225,499,0
1681820180,225,499,0
1681820181,228,499,0
1681820182,232,499,0
1681820183,238,499,0
1681820184,241,500,0
1681820185,241,524,0
1681820186,241,528,0
1681820187,241,528,0
1681820188,241,528,0
1681820189,244,528,0
1681820190,247,528,0
1681820191,249,528,0
1681820192,251,529,0
1681820193,251,532,0
1681820194,251,532,0
1681820195,251,532,0
1681820196,255,532,0
1681820197,259,532,0
1681820198,261,542,0
1681820199,262,552,0
1681820200,262,552,0
1681820201,262,552,0
1681820202,262,552,0
1681820203,265,552,0
1681820204,270,552,0
1681820205,275,552,0
1681820206,281,552,0
1681820207,283,576,0
1681820208,283,578,0
1681820209,283,578,0
1681820210,283,578,0
1681820211,283,578,0
1681820212,283,578,0
1681820213,284,578,0
1681820214,286,578,0
1681820215,286,578,0
1681820216,286,578,0
1681820217,286,582,0
1681820218,288,582,0
1681820219,290,582,0
1681820220,291,586,0
1681820221,291,586,0
1681820222,291,586,0
1681820223,293,586,0
1681820224,296,586,0
1681820225,297,586,0
1681820226,298,586,0
1681820227,298,586,0
1681820228,298,586,0
1681820229,301,586,0
1681820230,304,603,0
1681820231,304,605,0
1681820232,304,610,0
1681820233,308,610,0
1681820234,311,617,0
1681820235,312,634,0
1681820236,314,637,0
1681820237,317,637,0
1681820238,320,637,0
1681820239,323,668,0
1681820240,323,668,0
1681820241,323,668,0
1681820242,323,668,0
1681820243,323,668,0
1681820244,323,668,0
1681820244,323,668,0
Trial ended. Best lap time:-1,total elapsed time:199
